org,name,type,ip,hostname,owner,business_unit,criticality,data_sensitivity
AcmeRetail,web-01,Service,203.0.113.10,web01.acmeretail.local,web,Digital,4,High
AcmeRetail,db-01,HW,203.0.113.20,db01.acmeretail.local,data,Digital,5,High
AcmeRetail,pos-01,HW,10.10.20.15,pos01.store1.local,retail,RetailOps,3,Moderate
AcmeRetail,vpn-gw,Service,203.0.113.50,vpn.acmeretail.local,netops,IT,4,Moderate
AcmeRetail,cms-app,SW,,cms.acmeretail.local,app,Digital,3,Moderate
MediClinic,portal-app,SW,,portal.mediclinic.local,app,IT,3,Moderate
MediClinic,emr-db,HW,198.51.100.25,emrdb.mediclinic.local,data,Clinical,5,High
MediClinic,vpn-gw,Service,198.51.100.40,vpn.mediclinic.local,netops,IT,4,Moderate
MediClinic,lab-srv-01,HW,10.20.30.40,lab01.mediclinic.local,lab,Clinical,3,High
MediClinic,backup-node,HW,10.20.99.10,backup.mediclinic.local,infra,IT,4,High
